0,Word,Definition,Example,Weight,Quiz_Marked,Hangman_Marked
300,mundane,lacking interest or excitement; dull; of this earthly world rather than heavenly or spiritual one,"according to the Shinto doctrine, spirits of the dead can act upon the mundane world",4,false,false
301,nettlesome,causing annoyance or difficulty,"Asking another nettlesome question, the child irritated her mother to no end",5,false,false
302,nullify,make legally null and void; invalidate,it is at the discretion of the court to nullify the decision,10,false,false
303,obviate,remove; avoid or prevent,the presence of roller blinds obviated the need for curtains,4,false,false
304,omnipresent,widely or constantly encountered; widespread,the omnipresent threat of natural disasters,8,false,false
305,oust,drive out or expel (someone) from a position or place,the reformists were ousted from power,4,false,false
306,palpable,so intense as to seem almost tangible; able to be touched or felt,There was a palpable excitement in the air as the town prepared for the festival.,9,false,false
307,perfidy,state of being deceitful and untrustworthy,Nicholas was soon to have personal experience of the perfidy of Austria,4,false,false
308,profuse,very plentiful; abundant,On his way to Paris he had been profuse in promises of reform and constitutional rule,4,false,false
309,pugnacious,"eager or quick to argue, quarrel or fight",his public statements became increasingly pugnacious,9,false,false
310,sagacious,having keen mental discernment and good judgement; wise,they were sagacious enough to avoid any outright confrontation,10,false,false
311,sanguine,"optimistic, especially in an apparantly bad or difficult situation",he is sanguine about prospects for the global economy,4,false,false
312,scant,barely sufficient or adequate,companies with scant regard for the safety of future generations,8,false,false
313,skulduggery,"underhand, unscrupulous, or dishonest behavior or activities",a firm that investigates commercial skulduggery,7,false,false
314,trivial,of little value or importance,huge fines were imposed for trivial offences,8,false,false
315,utilitarian,designed to be useful or practical rather than attractive,The keynote of his thought was that public ethics has a utilitarian basis,9,false,false
316,vapid,offering nothing that is stimulating or challenging; bland,And I recently saw an interview with her and she came across as very vapid and artificial American,7,false,false
317,brook,to tolerate; to endure; to allow,Jenny would brook no criticism of Matthew,4,false,false
318,circumspect,wary and unwilling to take risks,the officials were very circumspect in their statements,9,false,false
319,comity,an association of nations for their mutual benfit; courtesy and considerate behavior towars others,a show of public comity in the White House,9,false,false
320,commensurate,corresponding in size or degree; in proportion,salary will be commensurate with age and experience,11,false,false
321,cordial,warm and friendly; strongly felt,"He was cordial and polite enough, but when he got into a jam with people, he became nasty",11,false,false
322,deleterious,causing harm or damage,devorce is assumed to have deleterious effects on childern,5,false,false
323,dichotomy,division or contrast between two things that are or are represented as being opposed or entirely different,a rigid dichotomy between science and mysticism,9,false,false
324,edify,instruct or improve (someone) morally or intellectually,The teacher hoped her speech about good citizenship would edify her students and encourage them to contribute to their communities.,9,false,false
325,elicit,"evoke or draw out(a reaction, answer or fact) from someone",It is difficult to elicit sympathy for a silly old man caught up in dark dealings,10,false,false
326,erudite,having or showing great knowledge or learning,You can tell that he's erudite in the subject by his enthusiastic language,7,false,false
327,fecund,highly fertile; producing many new ideas,The computer programmer was a fecund person who could quickly identify and solve problems,11,false,false
328,feeble,lacking physical strength or strength of character; failing to convince or impress,"by now, he was too feeble to leave his room",9,false,false
329,felicitous,well choosen or suited to the circumstances; pleasing and fortunate,This Season has proved far more felicitous than anyone could have expected,5,false,false
330,forbear,politely or patiently restrain an impulse to do something; refrain;,We decided to forbear from provoking him any further.,7,false,false
331,haphazard,laking any obvious principle of organization,She left her books standing precariously in a haphazard pile,10,false,false
332,hodgepodge,a confused mixture,Rob's living room was a hodgepodge of modern furniture and antiques,10,false,false
333,impede,delay or prevent by obstructing; hinder,the sap cap causes swelling which can impede breathing,5,false,false
334,impetuous,acting or done quickly and without thought or care,"In the past, impetuous young men would drop out of college and run off to join the army",6,false,false
335,irascible,having or showing a tendency to be easily angered,"Her first name is a play on the word irascible, as she is easily irritated and quick to anger",4,false,false
336,mercenary,primarily concerned with making money at the expense of ethics; a professional soldier hiderd to serve in a foreign army,she's nothing but a mercenary little gold-digger,10,false,false
337,mordant,having or showing a sharp or critical quality; biting,The mordant mother often used harsh words that made her son cry,10,false,false
338,outstrip,move faster than and overtake; exceed,Is there some point where our technological prowess will outstrip our wisdom thus making a disaster inevitable?,9,false,false
339,quirky,having or characterized by peculiar or unexpected traits or aspects,We've developed a reputation for being quite quirky and original,10,false,false
340,repudiate,reject; deny the truth or validy of,he West has chosen to repudiate all responsibility for these refugees,5,false,false
341,tact,skill and sensivity in dealing with others or with difficult issues,the inspector broke the news to me with tact and consideration,11,false,false
342,trifling,unimportant or trivial,Outside California these difficulties may seem fairly trifling,10,false,false
343,turbulent,"characterized by conflict, disorder, or confusion; not stable or calm","He displayed great energy in facing the difficulties of a turbulent situation, but was unsuccessful",9,false,false
344,antithesis,a person or a thing that is direct opposite of someone or something else,Slavery is the antithesis of freedom,8,false,false
345,ascribe,regard something as being due to (a cause); assign,he ascribed Jane's short temper to her upset stomach,7,false,false
346,befuddled,cause to become unable to think clearly,the logic used to arrive at this conclusion befuddles me,7,false,false
347,eschew,deliberately avoid using; abstrain from,he appealed to the crowd to eschew violence,7,false,false
348,esoteric,understood by only a small number of people with a specialized knowledge or interest,"Communicating love in a way neither had ever experienced, they converged in an esoteric dance in which the world fell away",9,false,false
349,evasive,"tending to avoid commitment or self-revelation, especially be responding only indirectly",she was evasive about her phone number,8,false,false
350,exculpate,show or declare that (someone) is not guilty of wrongdoing, I will present evidence that will exculpate my client,7,false,false
351,expedite,make (an action or process) happen sooner or be acomplished more quickly,"To expedite the approval process, you can apply online",7,false,false
352,fastidious,very attentive to and concerned about accuracy and detail,"Virgo males, therefore, would prefer a mate that is as tidy and as fastidious as they are",8,false,false
353,furtive,"attempting to avoid notice or attention, typically because of guilt; secretive",She gave a furtive look at the deserted shops on the opposite side of the road,6,false,false
354,hamper,hinder the movement or progress of,He didn't need more emotions to hamper his decision making,8,false,false
355,indispensable,absolutely necessary,air is indespensable to life,8,false,false
356,lament,a passionate expression of grief or sorrow,"His amiable disposition acquired him a large circle of friends, who deeply lament his death",8,false,false
357,myopic,short-sighted; lacking foresight or intellectual insight,"The danger is that we can become selfishly myopic, turning our hearts toward home but our backs to the needs of the world",7,false,false
358,nonchalant,"feeling or appearing casually calm and relaxed; not displaying anxiety, interest or enthusiasm","The actor had a nonchalant delivery that was cool, honest, appealling and likeable",7,false,false
359,partial,existing only in part; incomplete; biased; having a liking for,the paper gave a distorted and very partial view of the situation,9,false,false
360,pensive,"engaged in, involving or reflecting deep or serious thought","Katie didn't answer for a moment, pensive. Gabe glanced back at her then slowed, as if sensing she was growing tired",8,false,false
361,portend,be a sign of warning,Decreasing employment rates portend rise in homelessness,8,false,false
362,provincial,of or concerning a province of a country or empire; uncultured in thought and manner; narrow-minded,"After living in the city for five years, he found that his family back home on the farm was too provincial",4,false,false
363,rudimentary,involving or limited to basic principles,You need to have at least a rudimentary understanding of technology before you can upload a video on that website,8,false,false
364,salutary,(especially with reference to something unwelcome or unpleasant) producing good effects; beneficial,it failed to draw salutary lessons from Britain's loss of its colonies,10,false,false
365,sever,divide by cutting or slicing; put an end to (a connection or relationship); break off,She wanted to sever all her connections with the firm,8,false,false
366,slight,insult (someone) by treating or speaking of them without proper respect or attention; small in degree,he was desperate not to slight a guest,7,false,false
367,somnolent,sleepy; drowsy,"He lay quiet, somnolent after the day's exertions",9,false,false
368,stoic,a person who can endure pain or hardship without showing their feelings or complaining; a member of the ancient philosophical school of Stoicism,Candace worked hard to maintain her stoic features so others could not see her true feelings,8,false,false
369,supersede,take the place of; supplant,Kate hopes she can supersede her boss and take her position in the company,7,false,false
370,tout,"attempt to sell (something) or persuade, typically by a direct or persistent approach",The company is running advertisements touting the drug's effectiveness,8,false,false
371,wane,become weaker,"About half-past eight the combat began to wane, and the last shots were fired at ten",8,false,false
372,abhor,regard with disgust or hatred,he abhorred sexism in every form,8,false,false
373,boisterous,"noisy, energetic and cheerful; (of weather or water) wild or stormy","The child was very boisterous at home, but was on his best behavior at school",8,false,false
374,chivalrous,"(of a man or his behaviour) courteous and gallant, especially towards woman; relating to the historical concept of chivalry",shall I be chivalrous and offer you my coat?,6,false,false
375,churlish,rude in a mean-spirited and bad-tempered way,The room was so lovely it seemed churlish to argue,4,false,false
376,clandestine,"kept secret or done secretively, especially because it is illegal",she deserved better than these clandestine meetings,4,false,false
377,complacent,showing smug or uncritical satisfaction with oneself or one's achievements,"A slice of pizza does little to curb my hunger, but four slices would make me complacent",5,false,false
378,cumbersome,large or heavy and therefore difficult to carry or use; slow or complicated and therefore inefficient,This is going to be a lot more cumbersome than my usual costume,7,false,false
379,debilitating,making (someone) very weak and infirm,Many people suffer from the debilitating lung disease emphysema,4,false,false
380,deliberate,done consciously and intentionally,The speech was a deliberate attempt to embarrass the government,7,false,false
381,droll, comical in an odd or whimsical manner,a droll little man with a quiet tongue-in-cheek kind of humor,8,false,false
382,eccentric,unconventional and slightly strange,My neighbor is an eccentric old lady who has over 20 cats,9,false,false
383,fractious,irritable and quarrelsome; difficult to control; unruly,King Malcolm struggled to unite his fractious kingdom,8,false,false
384,limpid,completely clear and transparent; (of writing or music) clear and accessible or melodious,the limpid waters of the Caribbean,7,false,false
385,mawkish,sentimental in an exaggerated or false way,"There were no mawkish sentimental outpourings, but you knew they were glad to have him back safe and sound",8,false,false
386,obeisance,deferential respect,they paid obeisance to the prince,4,false,false
387,panacea,a solution or remedy for all difficulties or diseases,He finds his panacea in the concrete life of humanity,4,false,false
388,perfunctory,"carried out without real interest, feeling, or effort","He dropped a cold, perfunctory kiss on her cheek and left",7,false,false
389,perilous,full of danger or risk,a perilous journey across the war-zone,7,false,false
390,preclude,prevent from happening; make impossible,Their secret opinion of one another didn't preclude them from being mutually polite,6,false,false
391,predilection,a preference or special liking for something; a bias in favour of something,The junkie had a predilection for the more illicit things in life,7,false,false
392,rapacious,aggressively greedy or grasping,His rapacious hunger built as his fangs began their descent,9,false,false
393,relish,enjoy greatly; anticipate with pleasure,we did not relish the idea of a strike,5,false,false
394,satirical,"sarcastic, critical, and mocking another's weaknesses","A sharply satirical look at our attitude to politics and politicians, this is a hilarious play and well worth seeing",7,false,false
395,sham,falsely present something as the truth; false; a thing that is not what it is purported to be,our current free health service is a sham,9,false,false
396,skirt,attempt to ignore or avoid dealing with; go round or past the edge of,he did not go through the city but skirted it,7,false,false
397,sluggish,slow-moving or inactive; lacking energy or alertness,Alex woke late feeling tired and sluggish,7,false,false
398,spartan,showing or characterized by austerity or a lack of comfort or luxury,Their spartan lifestyle prohibits a fridge or a phone,4,false,false
399,truculent,eager or quick to argue or fight; aggressively defiant,He became very truculent and started arguing with me angrily,5,false,false
400,acrimonious,angry and bitter,"It is an acrimonious dispute, so exercise sensible caution",9,false,false
401,belligerent,hostile and aggressive,My brother was always belligerent and ready to fight,4,false,false
402,beneficent,generous or doing good,a beneficent couple who are regular volunteers at a homeless shelter,7,false,false
403,canny,having or showing good judgement especially in money or business matters,canny investors will switch banks if they think they are getting a raw deal,4,false,false
404,cavalier,"showing a lack of proper concern; a dashing and attentive man, especially one acting as a lady's escort",Percy dismissed the issue with a cavalier wave of his hand.,6,false,false
405,distressed,"suffering from extreme anxiety, sorrow or pain; having simulated marks of age and wear","He rose, distressed by the familiar despair.",7,false,false
406,dwindling,"gradually diminishing in size, amount, or strength",The party fears infighting will further dent its dwindling popularity,7,false,false
407,eclipse,deprive (someone or something) of significance or power,the economy has eclipsed the environment as the main issue,8,false,false
408,encyclopedic,comprehensive in terms of information,He had an encyclopedic knowledge of insects and was inordinately fond of beetles,7,false,false
409,exacerbate,"make (a problem, bad situation or negative feeling) worse",He wanted desperately to put his arms around her but knew he'd just exacerbate the situation,8,false,false
410,exasperated,intensely irritated and frustrated,He pulled away with an exasperated sigh and answered the phone.,4,false,false
411,fungible,replaceable by another identical item; mututally interchangeable,Diamonds are not fungible and can't be easily exchanged with each other,8,false,false
412,hackneyed,having been overused; unoriginal and trite,The plot of the film is just a hackneyed boy-meets-girl scenario,8,false,false
413,interchangeable,very similar; able to be interchanged,"The 3 terms are not necessarily synonymous, nor interchangeable.",8,false,false
414,laconic,using very few words; untalkative,his laconic reply suggested a lack of interest in the topic,8,false,false
415,lucrative,producing a great deal of profit,Video games represent one of the most lucrative industries on the planet.,7,false,false
416,magisterial,having or showing great authority; domineering; dictatorial,"When my magisterial mother-in-law came over to our house, she insisted that I raise my children exactly how she wanted me to.",8,false,false
417,onerous,"involving a great deal of effort, trouble or difficulty","His duties were thus rendered exceedingly onerous, and his labour became excessive.",5,false,false
418,opprobrium,harsh criticism and censure,"Like any profession, architecture has its villains and they deserve opprobrium.",4,false,false
419,parsimonious,very unwilling to spend money or use resources,even the parsimonious Joe paid for drinks all round,8,false,false
420,peripheral,relating to or situated on the edge or periphery of something; of secondary or minor importance; marginal,"As the president of the company, Glen usually focuses on the major issues and passes the peripheral matters to his vice-presidents",7,false,false
421,renounce,"formally declare one's abandonment of (a claim, right, or possession)","Besides, Sonya is so charming that only a fool would renounce such happiness",7,false,false
422,tempestuous,characterized by strong and turbulent or conflicting emotion; very stormy,Football is bound to be tempestuous and produce volatile but not necessarily violent reactions,4,false,false
423,tenable,"able to be maintained or defended against attack or objection; (of an office, position, scholarship, etc.) able to be held or used ",a scholarship of 200 dollars per annum tenable for three years,8,false,false
424,transgression,"an act that goes against a law, rule or code of conduct; an offence",The judge will decide the penalty for my transgression,8,false,false
425,verisimilitude,the appearance of being true or real,the detail gives the novel some verisimilitude,8,false,false
426,vitiate,spoil or impare the quality or efficiency of,development programmes have been vitiated by the rise in population,4,false,false
427,affinity,natural liking for and understanding of someone or something,he had a special affinity with horses,4,false,false
428,baroque,highly ornate and extravagant in style,The elaborate architecture of the baroque dwelling seemed out of place in the neighborhood of simply-designed homes.,9,false,false
429,byzantine,excessively complicated and typically involving a great deal of administrative details,I have no intention of exploring the byzantine complexities of local government funding formulae,8,false,false
430,compromise,settle a dispute by mutual concession; weaken or harm by accepting standards that are lower than is desirable,we were not prepared to compromise on safety,7,false,false
431,conciliatory,intended or likely to placate or pacify,"His ambition was to play the role of peacemaker, and his conciliatory policy achieved many successes.",5,false,false
432,countenance,support or approval; a person's face or facial expression,she was giving very countenance to the occasion,4,false,false
433,covert,not openly acknowledged or displayed,The spy went to great lengths to make sure his enemies would not discover his covert plans.,8,false,false
434,credible,able to be believed; convincing,Reference credible sources to strengthen your argument.,7,false,false
435,diffuse,lacking clarity or conciseness; spread out over a large area; not concentrated,"Of these volumes, he adds, one is very diffuse, but the other short and concise.",7,false,false
436,documentary,consisting of or based on official documents; using pictures or interviews with people involved in real events to provide a factual report on a particular subject,documentary evidence of regular payments from the company,7,false,false
437,exhaustive,including or considering all elements or aspects; fully comprehensive,the guides outlines every bus route in exhaustive detail,8,false,false
438,exhilarating,"making one feel very happy, animated, or elated; thrilling","Ride across the windswept moors, or gallop along the beaches for an exhilarating experience.",7,false,false
439,extraneous,irrelevant or unrelated to the subject being dealt with; of external origin,one is obliged to wade through many pages of extraneous material,8,false,false
440,fervor,intense and passionate feeling,Consumers met the dolls with such fervor that the company couldn't keep up with demand.,4,false,false
441,futile,incapable of producing any useful result; pointless,His efforts were worse than futile.,7,false,false
442,illusory,based in illusion; not real,Tulip had also just seen what had happened yet it seemed so illusory.,7,false,false
443,invidious,likely to arouse resentment or anger in others; unfairly discriminating; unjust,It is perhaps invidious to criticize such an ambitious and fundamentally valuable undertaking as this on these grounds.,2,true,false
444,lethargic,sluggish and lacking interest or enthusiasm,I felt tired and a little lethargic,7,false,false
445,metaphorical,characteristics of or realating to metaphor; figurative,"Since she was always so metaphorical with her speech, I never knew when she was being blunt and serious.",8,false,false
446,mimic,imitate (someone) especially to entertain or ridicule,He could mimic all the teachers' accents,8,false,false
447,numinous,having a strong religious or spiritual quality; indicating or suggesting the presence of a divinity,The account of spiritual struggle that follows has a humbling and numinous power.,4,false,false
448,overt,done or shown openly; plainly apparent,The new guest smiled in return but gave no overt sign of knowing the woman.,7,false,false
449,pellucid,easily understood; lucid,The contract was pellucid and left no confusion about each party's responsibilities,8,false,false
450,perpetuate,make (something) continue indefinitely,But there could be little guarantee that later generations would perpetuate the cult.,3,true,false
451,rational,based on or in accordance with reason or logic,I'm sure there's a perfectly rational explanation,7,false,false
452,subtle,so delicate or precise as to be difficult to analyse or describe; making use of clever and indirect methods to achieve something,"When it comes to giving criticism, sometimes it's best to take a subtle approach",8,false,false
453,acquiesce,accept something reluctantly but without protest,Even the few who were patriotic enough to acquiesce in the change by no means liked it.,3,true,false
454,adroit,clever or skilful,She is a remarkably adroit and determined politician,5,false,false
455,amend,make minor change in order to make it fairer or more acurate; improve,the rule was amended to apply only to non-members,6,false,false
456,animus,hostility or ill feeling; motivation to do something,My animus towards my roommate stems from the fact he is constantly stealing my food,3,true,false
457,apologist,a person who offers an argument in defence of something controversial,The apologist spoke out in support of the couple's right to marry and refused to give in to bigotry.,6,false,false
458,astringent,slightly acidic or bitter; sharp or severe in manner or style,The downturn in sales caused the CEO to impose astringent measures.,3,true,false
459,collaborate,produced by or involving two or more parties working together,They collaborated with Jack in numerous hotel projects,7,false,false
460,competent,"having the necessary ability, knowlegde or skill to do something successfully",No careful and competent student of his works has ever failed to correct this gross misapprehension.,5,false,false
461,correlate,"have a mutual relationship or connection, in which one thing affects or depends on another",Poverty and poor housing correlate with a shorter life expectancy,5,false,false
462,deride,express contempt for; ridicule,"When I am a parent, I will not deride my children and make them feel worthless",4,false,false
463,dictate,state or order authoritatively; say or read aloud; an order or principle that must be obeyed,Would you listen to a ruler if they made an unjust dictate ?,5,false,false
464,discreet,"careful and prudent in one's speech or actions, especially in order to keep something confidential or to avoid embarrassment","I imagine if there are aliens, they've been discreet for a reason",6,false,false
465,divorced,"separate or dissociate somethin from something else, typically with an undesirable effect",religion cannot be divorced from morality,6,false,false
466,elitist,relating to or supporting the view that a society or system should be led by an elite,"We try very hard not to make our posters too arty, which would only confirm the belief that theater is elitist.",5,false,false
467,flummoxed,confused or puzzled; perplexed,"Because I had not studied for the exam, I was flummoxed by many of the questions",5,false,false
468,fruitful,producing good or helpful results; productive,All experiments are fruitful if you don't have any preconceived notions about the results.,4,false,false
469,inborn,existing from birth,Mammals have an inborn fear of snakes,5,false,false
470,polymath,a person of wide knowledge or learning,"Aristotle was an encyclopedic polymath, an all time intellect.",7,false,false
471,reticent,not revealing one's thought or feeling readily,"Danger appears not to stir him, but he becomes reticent when asked about his work.",3,true,false
472,stringent,"strict, precise and exacting",Stringent legislation controls prison labour.,4,false,false
473,subservient,prepared to obey others unquestioningly; less imortant; subordinate,he expected her career to become subservient to is,4,false,false
474,surreptitious,"kept secret, especially because it would not be approved of",low wages were supplemented by surreptitious payments from tradesmen,4,false,false
475,tantalizing,tormenting or teasing with the sight or promise of something unobtainable,You can't give us that tantalizing snippet of info only to leave us hanging.,4,false,false
476,tantamount,equivalent in seriousness to; virtually the same as,To be a prince was tantamount to being the mark of secret conspiracy and assassination.,5,false,false
477,torpor,a state of physical or mental inactivity; lethargy,He had slumped into a state of torpor from which nothing could rouse him,5,false,false
478,trenchant,vigorous or incisive in expression or style,"Although the movie's plot is exciting, the dialogue is boring and needs to be polished until it is more trenchant",3,true,false
479,umbrage,offence or annoyance,She took umbrage at my remarks about her hair,6,false,false
480,versatile,able to adapt or be adapted to many different functions or activities,He had been one of the game's most versatile athletes,6,false,false
481,wayward,difficult to control or predict because of wilful or perverse behaviour,"He was wayward, high-spirited and self-confident.",4,false,false
482,alienate,make (someone) feel isolated or estranged,an urban environment which would alienate its inhabitants,4,false,false
483,apathy,"lack of interest, enthusaism, or concern",Apathy in government employees is not because they are low-paid or hungry,4,false,false
484,apropos,with reference to; concerning; very appropriate to a particular situation,"She was no longer sure of her position. Apropos of that, it was clearly time for more persuasion",4,false,false
485,apt,appropriate or suitable in the circumstances; having a tendency to do something; quick to learn,China cups are apt to break,6,false,false
486,cloak,a sleeveless outdoor overgarment that hangs loosely from the shoulders; something serving to hide or disguise something,preparations had taken place under a cloak of secrecy,5,false,false
487,consensus,a general agreement,there is a growing consensus that the current regime has failed,6,false,false
488,distort,"pull or twist out of shape; give a misleading or false account or impression of; change the form of (electrical signal or sound wave) during transmission; amplification, or other process",there are many factors that can distort the results,4,false,false
489,divergent,tending to be different or develop in different directions,It took the spouses five years to discover that their tastes were divergent and their tempers incompatible,4,false,false
490,enchant,fill (someone) with great delight; charm; put (someone or something) under a spell; bewitch,Isabel was enchanted with the idea,4,false,false
491,entrenched,firmly established and difficult or unlikely to change; ingrained,Our soldiers have entrenched themselves behind the battle lines,5,false,false
492,exotic,originating in or characteristic of a distant foreign country; attractive or striking because colourful or out of the ordinary,Italian exotic cars are the daydreams of much of the world.,4,false,false
493,exploitative,making use of a situation or treating others unfairly in order to gain an advantage or benefit,"Intervention is not intended to be exploitative, though some critics disagree.",3,true,false
494,foreseeable,able to be foreseen or predicted,"The Afghan civil war will continue into the foreseeable future, leaving the country fragmented and unstable.",4,false,false
495,forsake,abandon or leave; renounce or give up,These bags really do prove that you can spend less money without having to forsake style.,5,false,false
496,gratify,give (somone) pleasure or satisfaction,He only gave his consent in order to gratify her wishes,3,true,false
497,heed,pay attention to; take notice of,This is because you did not heed my advice.,3,true,false
498,judicious,"having, showing or done with good judgement or sense",all these development can be traced to the judicious use of public investment ,3,true,false
499,lucid,expressed clearly; easy to understand,"The main points remained lucid, straightforward, and well worth listening to.",5,false,false
500,pertinent,relevent or applicable to a particular matter; apposite,"After he returned my phone, he wrote down all our names and pertinent information",4,false,false
501,propriety,"the condition of being right, appropriate or fitting; conformity to conventionally accepted standards",he always behaved with the utmost propriety,6,false,false
502,scintillating,sparkling or shining brightly; brilliantly and excitingly clever or skilful,The host's scintillating conversations with celebrities have earned her numerous awards,6,false,false
503,sensational,"causing great public interest and excitement, especially by exaggerated and superficial elements",The affair was the most sensational political sex scandal of the century,6,false,false
504,sophisticated,having a great deal of worldly experience and knowledge of fashion and culture; developed to a high degree of complexity,He was accustomed to being around sophisticated people - and she was anything but that,4,false,false
505,strife,angry or bitter disagreement over fundamental issues; conflict,Money is a major cause of strife in many marriages,2,true,false
506,understated,presented or expressed in a subtle and effective way,They exaggerated the enemy's losses and understated their own,4,false,false
507,unscrupulous,having or showing no moral principles; not honest or fair,unscrupulous landlords might be tempted to harass existing tenants,5,false,false
508,veracity,conformity to facts; accuracy; habitual truthfulness,officials expressed doubts concerning the veracity of the story,3,true,false
509,virulent,extremely severe or harmful in its effects; bitterly hostile,"When but three years old he had a virulent attack of small-pox which left his face disfigured, and contributed to his father's dislike of him",5,false,false
510,volatile,easily evaporated at normal temperatures; liable to change rapidly and unpredictably,the political situation was becoming more volatile,3,true,false
511,antedate,precede in time; come before (something) in date,a civilization that antedated the Roman Empire,7,false,false
512,banish,send (someone) away from a country or place as an official punishment; get rid of (something unwanted),all thoughts of romance were banished from her head,7,false,false
513,bridle,"show one's resentment or anger; to restrain, check or control;put a bridle on a horse",To avoid any trouble she was forced to bridle her anger,7,false,false
514,comply,act in accordance with a wish or command,we are unable to comply with your request,8,false,false
515,crestfallen,sad and disappointed,"After that many years of struggle on a foreign land, he had to come back empty-handed and crestfallen",7,false,false
516,curtail,reduce in extent or quality; impose a restriction on,We decided to curtail the event because people began to leave early.,7,false,false
517,elucidate,make (something) clear; explain,You must also elucidate your plan for reaching your distribution channels.,4,false,false
518,evade,"escape or avoid (someone or something), especially by guile or trickery","I was compelled to evade her question, for I could not explain to her the mystery of a self-existent being.",7,false,false
519,feckless,lacking initiative or strength in character; irresponsible,Larry was such a feckless manager that the company was forced to declare bankruptcy,6,false,false
520,fester,"(of a negative feeling or a problem) become worse or more intense, especially through long-term neglect or indifference",His feelings of resentment have festered for years,7,false,false
521,iconoclastic,criticizing or attacking cherished beliefs or institutions,an iconoclastic filmmaker who has pushed the boundaries with every film he's made,7,false,false
522,immure,enslose or confine (someone) against their will,"Caught robbing a bank, Jason knew the police would immure him in a jail cell for an extended period of time",6,false,false
523,improvise,"create and perform (music, drame or verse) spontaneously or without preparation; produce or make (something) from whatever is available",I improvised a costume for myself out of an old blue dress,7,false,false
524,inhibit,"hinder, restrain or prevent; make (someone) self-conscious and unable to act in a relaxed and natural way",they felt inhibited by the presence of healthcare professionals,8,false,false
525,inscrutable,impossible to understand or interpret,"When Larry wrote the letter, he was so tired the writing was nearly inscrutable",6,false,false
526,lionize,"to treat (a person) as if they were important, or a celebrity","We ought to lionize our military men and women because they place themselves in harms way, so others can live",8,false,false
527,monotonous,"dull, tedious and repetitious; lacking in variety and interest","My job is monotonous, but at least I'm working",8,false,false
528,peculiar,different to what is normal or expected; strange; particular; special,Some old folk have peculiar tastes,8,false,false
529,premeditate,think out or plan beforehand,The defense claim that the killing was not premeditated,8,false,false
530,profligate,recklessly extravagant or wasteful in the use of resource; overindulging in sensual pleasures,"After the millionaire saw evidence of his new wife's profligate spending, he quickly filed for a divorce",5,false,false
531,reconcile,restore friendly relations between; make or show to be compatible; make someone accept,There were many things about him she couldn't reconcile.,8,false,false
532,refine,remove impurities or unwanted elements from a substance,"Any nobleness begins at once to refine a man's features, any meanness or sensuality to imbrute them.",8,false,false
533,relinquish,voluntarily cease to keep or claim; give up,The son was reluctant to relinquish involvement in the company.,7,false,false
534,ruminate,think deeply about something,we sat ruminating on the nature of existence,7,false,false
535,skittish,playfully frivolous or unpredictable; nervous or excitable; easily scared,"Since the toddler is very skittish, she jumps at the slightest noise",9,false,false
536,superfluous,"unnecessary, especially through being more than enough",Isn't it superfluous to have 20 pairs of shoes when you only wear the same 5 pairs?,4,false,false
537,synoptic,of or forming a general summary or synopsis; taking or involving a comprehensive mental view,a synoptic outline of the contents,7,false,false
538,thorough,complete with regard to every detail; not superficial or partial,planners need a thorough understanding of the subject,7,false,false
539,visionary,"thinking about or planning the future with imagination or wisdom; able to see visions in a dream or trance, or as a supernatural apparation","Another visionary American colony, led by a certain Adams, came in 1866.",9,false,false
540,vociferous,expressing or characterized by vehement opinions; loud and forceful,"Indeed, the local business community is particularly vociferous in arguing its need.",7,false,false
541,acclaim,praise enthusiastically and publicly,the conference was acclaimed as a considerable success,4,false,false
542,ascertain,find (something) out for certain; make sure of,I immediately instituted an inquiry to ascertain the facts in the case,4,false,false
543,assertive,having or showing a confident and forceful personality,Some people are not assertive enough to ask for help,4,false,false
544,bogus,not genuine or true,"Only after a proper investigation, her claim was found to be bogus",4,false,false
545,cataclysmic,large-scale and violent ,It was this cataclysmic political event that shattered the stability of the old order,5,false,false
546,complementary,combining in such a way as to enhance the qualities of each other or another,The two components of double stars often exhibit complementary colours.,5,false,false
547,contentious,causing or likely to cause an argument; controversial,There was contentious debate over the use of genetically modified crops.,4,false,false
548,disingenuous,dishonest and not giving the whole truth,You have to be pretty thick not to see through all this - or extremely disingenuous.,2,true,false
549,divulge,make known (private or sensitive information),"He would cross his fingers and trust she wouldn't divulge any confidences to her boss, Fitzgerald.",4,false,false
550,dogmatic,inclined to lay down principles as undeniably true; opinionated,she was not tempted to be dogmatic about what she believed,4,false,false
551,fallacious,based on a mistaken belief,The idea that nuclear power can solve the coming energy crisis is therefore totally fallacious,4,false,false
552,foolhardy,"reckless, bold or rash",it would be foolhardy to go into the scheme without support,5,false,false
553,hinder,make it difficult to do or happen,language barriers hindered communication between scientists,6,false,false
554,impair,weaken or damage,a noisy job could permanently impair their hearing,5,false,false
555,impugn,"dispute the truth, validity or honesty of; call into question",the father does not impugn her capacity as a good mother,4,false,false
556,incessant,(of something regarded as unpleasant) continuing without pause or interruption,The noise was incessant and disturbing and the battle was fierce,6,false,false
557,inclined,be favorably disposed towards or willing to do something; have a tendency to do something,I only write when I feel inclined to,4,false,false
558,inveterate,"having a particular habit, activity or interest that is long established and unlikely to change",Mark is an inveterate liar who could not tell the truth even if you paid him,5,false,false
559,miserly,having wealth and spending as little money as possible; inadequate or pitiably small,"the prize for the winner will be a miserly 3,500",4,false,false
